         179518 function calls (179461 primitive calls) in 5.828 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      244    0.000    0.000    0.000    0.000 {method 'lower' of 'bytes' objects}
       49    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.010    0.010 /home/se/.local/lib/python3.8/site-packages/urllib3/contrib/pyopenssl.py:250(<listcomp>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/OpenSSL/crypto.py:587(__getattr__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:355(_decode_authority_key_identifier)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/backends/openssl/decode_asn1.py:260(_decode_certificate_policies)
       27    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/_policybase.py:281(_sanitize_header)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:1287(_cookies_for_request)
       22    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:155(__getitem__)
        1    0.000    0.000    0.721    0.721 /usr/lib/python3/dist-packages/requests/sessions.py:617(send)
       77    0.000    0.000    0.000    0.000 {built-in method _openssl.sk_GENERAL_NAME_value}
       31    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/hazmat/_oid.py:43(__eq__)
       21    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:78(readline)
       77    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/cryptography/x509/extensions.py:1219(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/se/.local/lib/python3.8/site-packages/urllib3/_collections.py:230(extend)
       29    0.000    0.000    0.000    0.000 /usr/lib/python3.8/html/__init__.py:91(_replace_charref)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/http/cookiejar.py:684(reach)
        1    0.000    0.000    0.002    0.002 /home/se/.local/lib/python3.8/site-packages/urllib3/util/ssl_.py:220(create_urllib3_context)
        1    0.000    0.000    0.563    0.563 /home/se/.local/lib/python3.8/site-packages/urllib3/connectionpool.py:494(urlopen)
       10    0.000    0.000    0.000    0.000 {method 'cast' of 'CompiledFFI' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/copy.py:66(copy)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/requests/utils.py:475(get_encoding_from_headers)
       16    0.000    0.000    0.000    0.000 {built-in method _openssl.OBJ_obj2txt}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/email/feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.8/functools.py:34(update_wrapper)
        2    0.000    0.000    0.000    0.000 {built-in method _openssl.SSL_new}
